ClassName,Time,GroupNo
vehicle_blocks.tests.test_vehicle_timeline.TestVehicleTimeLineAPI,0.29,1
trips.tests.apis.test_trips.TestTripRatingsReasonAsCustomer,0.284,1
locations.tests.utils.test_locations.AliasesSearchTestCase,0.279,1
rentals.tests.apis.test_rental_operations.TestRentalAPIOperationsAsCustomer,0.277,1
users.tests.apis.v3.test_notifications.TestNotificationsAPIAsCustomer,0.264,1
vehicles.tests.apis.test_vehicle_admin.TestRecurringAlertVINs,0.261,1
services.tests.utils.test_carsharing_service_utils.TestGetBraintreeMerchantAccountId,0.238,1
users.tests.models.test_supplier_company.TestSupplierCompanyModel,0.223,1
tickets.tests.test_signals.TicketTestCase,0.198,1
vehicle_markers.tests.test_signals.TestMarkerTypeSignal,0.193,1
users.tests.models.test_users.UserProfilePreferredLanguageTestCase,0.187,1
users.tests.tasks.test_user_activities.TestSendEmailRetry,0.163,1
calendars.tests.actions.test_actions.TestDefaultSSRAction,0.161,1
services.tests.models.test_service_periods.TestServicePeriodSessionDate,0.153,1
payments.tests.utils.test_payment_utils.TestRefundComputation,0.146,1
vehicle_automation.tests.test_automations.TestTelematicDataEvent,0.143,1
django_utils.tests.test_utils.TestModelDiffMixin,0.123,1
vehicle_lifecycle.tests.test_lifecycle_utils.TestLifeCycleCopyFunctions,0.122,1
billing.tests.utils.test_invoice_utils.TestChargeInvoice,0.11699999999999999,1
vehicle_cameras.tests.test_viewsets.TestDashcamReportsViewSet,0.11599999999999999,1
data_pipeline.tests.utils.test_data_pipeline_transport_config_validation.DataPipelineSenderBootStrapTests,0.10200000000000001,1
django_utils.tests.apis.test_healthcheck.HealthCheckTestCase,0.093,1
hardware_sdk_mensa.tests.test_interface.TestGetVehicleStatus,0.092,1
vehicle_lifecycle.tests.test_state_parsing.TestRecordParser,0.089,1
data_pipeline.tests.utils.test_data_pipeline_transport_config_validation.KafkaConfigurationValidationTests,0.081,1
services.tests.models.test_service_periods.TestServicePeriodActiveTimePeriod,0.081,1
payments.tests.utils.test_localized_measurement_units.QuantizationTests,0.07100000000000001,1
services.tests.utils.test_api_utils.TestValidateCoordinatesParams,0.067,1
locations.tests.apis.v3.test_locations.LocationTestingMixin,0.066,1
payments.tests.tasks.test_payments.TestDebitFailedPayments,0.062,1
payments.tests.models.test_payments.TestTransactionRiskExemption,0.061,1
billing.tests.utils.test_invoice_utils.TestBuildInvoiceData,0.051,1
situation_engine.tests.utils.test_utils.TestFunctionRegistration,0.045,1
vehicle_lifecycle.tests.test_state_parsing.TestVehicleRecordCollection,0.045,1
vehicle_automation.tests.test_automations.TestRecommendation,0.038,1
django_utils.tests.utils.test_locale_utils.TestLocaleUtils,0.035,1
hardware_sdk_mensa.tests.test_webhooks.TestMensaPushDiagnostics,0.027,1
firebase.tests.test_utils.FirebaseUtilsTasksTestCase,0.024,1
payments.tests.utils.test_localized_measurement_units.LocalizedDistanceUnitTests,0.023,1
locations.tests.utils.test_locations.AutocompleteTestCase,0.022,1
django_utils.tests.utils.test_celery_serialization.TestSerializerRoundtrips,0.011,1
payments.tests.utils.test_carsharing_payment_utils.TestDistanceFareCalculation,0.010000000000000002,1
hardware_sdk_mensa.tests.test_webhooks_serializers.TestEnvironmentChangedSerializer,0.009000000000000001,1
locations.tests.models.test_locations.TestCacheableSearchResult,0.005,1
hardware_sdk_mensa.tests.test_webhooks_serializers.TestGetKeysSerializer,0.004,1
hardware_sdk_mensa.tests.test_webhooks_serializers.TestBaseSerializer,0.003,1
vehicle_lifecycle.tests.test_lifecycle_step_jobs.TestVehicleLifeCycleSignals,0.002,1
billing.tests.test_invoices.TestInvoicesWithPermissions,0.0,1
payments.tests.apis.test_customers_cards.TestHasValidCcExpirationDates,0.0,1
rentals.tests.apis.v3.test_scheduling.TestScheduledRentalRequestQueue,0.0,1
rentals.tests.serializers.test_scheduled_rentals_requests.TestScheduledRentalValetConcurrencyLimits,0.0,1
users.tests.apis.test_customer_signup.TestCustomerSignupLocale,0.0,1
users.tests.apis.v2.test_carsharing_customers.TestCustomerSignupLocale,0.0,1
users.tests.utils.test_user_utils.TestValidateDOB,0.0,1
vehicles.tests.apis.test_gpspositions.TestGpsPositionUpdate,0.0,1
vehicles.tests.apis.test_gpspositions.TestGpsPositionUpdateWithSupplierManager,0.0,1
vehicle_automation.tests.test_automation_apis.TestAutomationAlertsAPITestCase,0.0,1
vehicle_automation.tests.test_automation_apis.TestAutomationAlertsCountAPITestCase,0.0,1
vehicle_automation.tests.test_automation_apis.TestDTCRecommendationAPI,0.0,1
promotions.tests.apis.test_promotions.PromotionsTestCase,227.45200000000003,2
promotions.tests.apis.test_promotions.MultiTripAwardsAPITests,44.83099999999999,2
users.tests.apis.v2.test_carsharing_customers.TestCustomerAPIV2Registration,39.669,2
rentals.tests.apis.v3.test_contract_schedule_rental.TestContractScheduledRentalRequestV3Api,37.81,2
calendars.tests.apis.test_periods.PeriodsTestCase,35.49199999999999,2
users.tests.apis.v2.test_carsharing_customers.TestCustomerAPIV2DriverLicense,34.095,2
trips.tests.apis.test_trips.TestTransferTrips,31.154000000000003,2
users.tests.apis.v2.test_carsharing_customers.TestIdentityVerification,27.739000000000004,2
rentals.tests.apis.v2.test_rentals.TestRentalAPIAsDispatcher,24.624000000000002,2
users.tests.apis.v2.test_carsharing_customers.TestDispatcherFilterCustomersByUserGroups,22.023,2
users.tests.apis.test_drivers.TestDriverViewSet,20.874000000000002,2
rentals.tests.tasks.test_scheduling.TestSchedulingTasks,19.366999999999997,2
users.tests.apis.v2.test_carsharing_customers.TestCustomerAPIV2EditAsCustomer,18.622,2
users.tests.apis.v2.test_carsharing_customers.TestStaffServiceBasedV2CustomersFilter,17.673000000000002,2
users.tests.apis.test_vehicles_drivers.VehicleAPIsAsDispatcherTestCase,16.529999999999998,2
rentals.tests.apis.v3.test_scheduling.TestScheduledRentalAPIAsCustomer,15.671,2
driver_scheduling.tests.apis.test_slots.TestSlotsAPIAsManager,15.198000000000002,2
service_regions.tests.tests_special_dispatch_regions.TestPinBasedSpecialDispatchRegionAPIForDispatcher,14.411,2
service_regions.tests.tests_special_dispatch_regions.TestPinBasedSpecialDispatchRegionAPIForManager,13.849999999999996,2
vehicles.tests.apis.v2.test_vehicle_alerts.VehicleAlertApiTest,13.377999999999998,2
rentals.tests.tasks.test_scheduling.TestSchedulingTasksPaymentHold,12.945,2
rentals.tests.tasks.test_sms_reminders.TestScheduledRentalReservationSMSes,12.504000000000001,2
vehicles.tests.apis.test_vehicle_types.TestVehicleTypesAsCommonCustomer,12.318999999999999,2
vehicles.tests.utils.test_vehicle_transition_utils.TestTransitionToGoldPin,11.981999999999998,2
service_regions.tests.test_serviceregions.TestV3ServiceRegionAPI,11.431,2
payments.tests.models.test_rental_payments.TestPayments,11.311000000000002,2
rentals.tests.apis.v3.test_scheduling.TestScheduledRentalCalendarAPIs,11.028,2
users.tests.models.test_carsharing_customers_can_reserve_car.TestCustomers,10.884,2
